Airport Name,City,ICAO,IATA,Exported date
Colmar Airport,Colmar/Houssen,LFGA,CMR,31/05/2025
Lyon–Bron Airport,Lyon/Bron,LFLY,LYN,31/05/2025
Lyon–Saint-Exupéry Airport,Lyon/Colombier-Saugnieu,LFLL,LYS,31/05/2025
Villefranche – Tarare Airport,Villefranche-sur-Saône/Tarare,LFHV,XVF,31/05/2025
Autun - Bellevue Aerodrome(UAF),Autun/Bellevue,LFQF,XXG,31/05/2025
Chalon – Champforgeuil Airport,Chalon-sur-Saône/Champforgeuil,LFLH,XCD,31/05/2025
Mâcon - Charnay Airport(UAF),Mâcon/Charnay-lès-Mâcon,LFLM,QNX,31/05/2025
Saint-Yan Airport,Saint-Yan,LFLN,SYT,31/05/2025
Le Mans - Arnage Aerodrome(UAF),Le Mans/Arnage,LFRM,LME,31/05/2025
Albertville Aerodrome,Albertville,LFKA,XAV,31/05/2025
Chambéry Airport,Chambéry/Aix-les-Bains,LFLB,CMF,31/05/2025
Courchevel Altiport,Courchevel/Saint-Bon-Tarentaise,LFLJ,CVF,31/05/2025
Méribel Altiport,Méribel,LFKX,MFX,31/05/2025
Annecy – Haute-Savoie – Mont Blanc Airport,Annecy/Meythet,LFLP,NCY,31/05/2025
Annemasse Aerodrome,Annemasse,LFLI,QNJ,31/05/2025
Megève Altiport,Megève,LFHM,MVV,31/05/2025
Sallanches Aerodrome,Sallanches,LFHZ,XSN,31/05/2025
Paris - Issy-les-Moulineaux Heliport(UAF),Paris,LFPI,JDP,31/05/2025
Dieppe - Saint-Aubin Airport(UAF),Dieppe/Saint-Aubin-sur-Scie,LFAB,DPE,31/05/2025
Le Havre – Octeville Airport,Le Havre/Octeville-sur-Mer,LFOH,LEH,31/05/2025
Rouen Airport,Rouen,LFOP,URO,31/05/2025
Chelles - Le Pin Aerodrome[4](UAF),Chelles/Le Pin,LFPH,XXY,31/05/2025
Coulommiers – Voisins Aerodrome,Coulommiers/Voisins,LFPK,XWA,31/05/2025
Lognes – Émerainville aerodrome[4](UAF),Lognes/Émerainville,LFPL,XLG,31/05/2025
Meaux - Esbly Aerodrome[4](UAF),Meaux/Esbly,LFPE,XYB,31/05/2025
Aérodrome de Chavenay - Villepreux[4](UAF),Chavenay/Villepreux,LFPX,XZX,31/05/2025
